219.92.89.236@0.121861934662@2014-05-07 16:47:38@/sta/dashboard/login
219.92.89.236@0.014955997467@2014-05-07 16:47:39@/sta/
219.92.89.236@0.00792098045349@2014-05-07 16:47:40@/sta/404
219.92.89.236@0.00795388221741@2014-05-07 16:47:40@/sta/404
219.92.89.236@0.0150229930878@2014-05-07 16:47:40@/sta/
42.152.224.42@0.0133769512177@2014-05-07 16:48:04@/sta/
42.152.224.42@0.0139408111572@2014-05-07 16:48:05@/sta/
42.152.224.42@0.00847697257996@2014-05-07 16:48:05@/sta/404
42.152.224.42@0.00818085670471@2014-05-07 16:48:05@/sta/404
219.92.89.236@0.0134329795837@2014-05-07 16:48:56@/sta/
219.92.89.236@0.00903987884521@2014-05-07 16:48:56@/sta/404
219.92.89.236@0.00964903831482@2014-05-07 16:48:56@/sta/404
219.92.89.236@0.0147750377655@2014-05-07 16:48:57@/sta/
42.152.224.42@0.0167779922485@2014-05-07 16:49:19@/sta/
42.152.224.42@0.00838708877563@2014-05-07 16:49:22@/sta/404
42.152.224.42@0.0100710391998@2014-05-07 16:49:23@/sta/404
42.152.224.42@0.0144629478455@2014-05-07 16:49:23@/sta/
42.152.224.42@0.0136961936951@2014-05-07 16:49:44@/sta/
42.152.224.42@0.00878715515137@2014-05-07 16:49:45@/sta/404
42.152.224.42@0.014594078064@2014-05-07 16:49:45@/sta/
42.152.224.42@0.00937414169312@2014-05-07 16:49:46@/sta/404
42.152.224.42@0.368831157684@2014-05-07 16:50:35@/sta/felda-kahang-barat
42.152.224.42@0.0610380172729@2014-05-07 16:50:37@/sta/felda-kahang-barat/ajax/partial/calendarGetDateList/2014/5
219.92.89.236@0.265806913376@2014-05-07 16:50:38@/sta/dashboard/site/overview
219.92.89.236@0.0196011066437@2014-05-07 16:51:17@/sta/dashboard/site/overview
219.92.89.236@0.0116989612579@2014-05-07 16:51:43@/sta/dashboard/login
219.92.89.236@0.0198721885681@2014-05-07 16:52:03@/sta/dashboard/site/overview
219.92.89.236@0.017117023468@2014-05-07 16:54:04@/sta/dashboard/site/overview
219.92.89.236@0.0142040252686@2014-05-07 16:54:07@/sta/
219.92.89.236@0.0109400749207@2014-05-07 16:54:08@/sta/404
219.92.89.236@0.0104138851166@2014-05-07 16:54:09@/sta/404
219.92.89.236@0.0175001621246@2014-05-07 16:54:09@/sta/
219.92.89.236@0.0319299697876@2014-05-07 16:54:09@/sta/mengenai-kami
219.92.89.236@0.010596036911@2014-05-07 16:54:10@/sta/404
219.92.89.236@0.00849103927612@2014-05-07 16:54:10@/sta/404
219.92.89.236@0.0135140419006@2014-05-07 16:54:10@/sta/mengenai-kami
219.92.89.236@0.0105588436127@2014-05-07 16:54:10@/sta/404
219.92.89.236@0.0410959720612@2014-05-07 16:55:34@/sta/mengenai-kami
219.92.89.236@0.0274391174316@2014-05-07 16:55:39@/sta/felda-kahang-barat
219.92.89.236@0.0106370449066@2014-05-07 16:55:40@/sta/felda-kahang-barat/ajax/partial/calendarGetDateList/2014/5
219.92.89.236@0.0185041427612@2014-05-07 16:56:06@/sta/felda-kahang-barat
219.92.89.236@0.010048866272@2014-05-07 16:56:06@/sta/felda-kahang-barat/ajax/partial/calendarGetDateList/2014/5
219.92.89.236@0.0144009590149@2014-05-07 16:56:16@/sta/
219.92.89.236@0.0093297958374@2014-05-07 16:56:16@/sta/404
219.92.89.236@0.0136749744415@2014-05-07 16:56:16@/sta/
219.92.89.236@0.0110659599304@2014-05-07 16:56:16@/sta/404
219.92.89.236@0.0137021541595@2014-05-07 16:56:19@/sta/mengenai-kami
219.92.89.236@0.00955200195312@2014-05-07 16:56:19@/sta/404
219.92.89.236@0.00831699371338@2014-05-07 16:56:19@/sta/404
219.92.89.236@0.0344650745392@2014-05-07 16:56:19@/sta/mengenai-kami
219.92.89.236@0.0104060173035@2014-05-07 16:56:20@/sta/404
219.92.89.236@0.013857126236@2014-05-07 16:56:20@/sta/mengenai-kami
219.92.89.236@0.00800895690918@2014-05-07 16:56:20@/sta/404
219.92.89.236@0.00884509086609@2014-05-07 16:56:20@/sta/404
219.92.89.236@0.013571023941@2014-05-07 16:56:20@/sta/mengenai-kami
219.92.89.236@0.0101828575134@2014-05-07 16:56:20@/sta/404
219.92.89.236@0.0133810043335@2014-05-07 16:56:21@/sta/mengenai-kami
219.92.89.236@0.00790810585022@2014-05-07 16:56:21@/sta/404
219.92.89.236@0.00810289382935@2014-05-07 16:56:21@/sta/404
219.92.89.236@0.0144779682159@2014-05-07 16:56:21@/sta/mengenai-kami
219.92.89.236@0.0101628303528@2014-05-07 16:56:22@/sta/404
219.92.89.236@0.0134189128876@2014-05-07 16:56:48@/sta/mengenai-kami
219.92.89.236@0.0102260112762@2014-05-07 16:56:50@/sta/404
219.92.89.236@0.00808095932007@2014-05-07 16:56:52@/sta/404
219.92.89.236@0.0110020637512@2014-05-07 16:56:53@/sta/404
219.92.89.236@0.018520116806@2014-05-07 16:56:54@/sta/mengenai-kami
